Gestures,Hand,HandPalmPosition,HandPalmOrientation
0,Left,"(74.9752, 353.474, -160.37)","(0.446752, 0.280547, -0.849533)"
0,Left,"(74.0509, 352.494, -162.746)","(0.438567, 0.239953, -0.866072)"
0,Left,"(72.377, 352.233, -163.373)","(0.441692, 0.261065, -0.858343)"
0,Left,"(71.6122, 351.77, -165.235)","(0.444367, 0.249185, -0.860491)"
0,Left,"(69.8704, 351.222, -165.75)","(0.446255, 0.262426, -0.855563)"
0,Left,"(68.5703, 350.69, -167.25)","(0.436475, 0.257924, -0.861954)"
0,Left,"(66.9965, 350.367, -168.327)","(0.429307, 0.273023, -0.860903)"
0,Left,"(65.6567, 350.086, -169.181)","(0.430957, 0.2777, -0.858579)"
0,Left,"(64.5109, 349.427, -170.331)","(0.429716, 0.282521, -0.857628)"
0,Left,"(63.0616, 349.282, -171.342)","(0.42844, 0.290214, -0.855696)"
0,Left,"(61.8544, 347.947, -172.636)","(0.425411, 0.281292, -0.860175)"
0,Left,"(59.7545, 346.377, -175.534)","(0.419292, 0.260245, -0.869751)"
0,Left,"(58.7125, 346.62, -176.753)","(0.422092, 0.267261, -0.866262)"
0,Left,"(57.8288, 346.463, -178.432)","(0.422487, 0.243547, -0.873035)"
0,Left,"(56.5808, 346.412, -179.444)","(0.423979, 0.250658, -0.870294)"
0,Left,"(55.2228, 346.406, -180.752)","(0.420162, 0.249305, -0.872531)"
0,Left,"(53.607, 346.468, -181.452)","(0.414929, 0.268843, -0.869228)"
0,Left,"(52.0291, 346.745, -182.291)","(0.40799, 0.288048, -0.866356)"
0,Left,"(50.6356, 346.499, -183.027)","(0.409443, 0.295434, -0.863177)"
0,Left,"(49.0574, 346.548, -183.701)","(0.406634, 0.309255, -0.859657)"
0,Left,"(47.6434, 346.664, -184.734)","(0.402854, 0.312616, -0.860221)"
0,Left,"(46.1414, 346.682, -185.69)","(0.399687, 0.314803, -0.8609)"
0,Left,"(44.6667, 346.731, -186.681)","(0.391487, 0.323601, -0.861406)"
0,Left,"(43.1665, 346.691, -187.801)","(0.385512, 0.325744, -0.863291)"
0,Left,"(41.9634, 347.167, -189.161)","(0.38597, 0.320354, -0.865101)"
0,Left,"(40.4392, 346.98, -190.264)","(0.380012, 0.318839, -0.868293)"
0,Left,"(39.2421, 346.762, -191.362)","(0.386067, 0.31177, -0.868189)"
0,Left,"(37.762, 346.132, -192.287)","(0.385952, 0.307936, -0.869607)"
0,Left,"(36.4545, 345.602, -193.342)","(0.389012, 0.294299, -0.872959)"
0,Left,"(34.9905, 345.387, -194.217)","(0.391026, 0.294678, -0.871931)"
0,Left,"(33.4802, 344.698, -194.95)","(0.391913, 0.29379, -0.871832)"
0,Left,"(31.9876, 344.147, -195.663)","(0.392538, 0.296607, -0.870597)"
0,Left,"(30.4602, 343.596, -196.339)","(0.393649, 0.294972, -0.87065)"
0,Left,"(28.8767, 343.145, -196.798)","(0.394489, 0.298082, -0.86921)"
0,Left,"(27.0671, 342.663, -197.208)","(0.391, 0.305736, -0.868127)"
0,Left,"(25.4015, 342.504, -197.861)","(0.390098, 0.304566, -0.868943)"
0,Left,"(23.6132, 342.374, -198.692)","(0.386609, 0.301636, -0.871521)"
0,Left,"(21.8804, 342.566, -199.674)","(0.379394, 0.30058, -0.87505)"
0,Left,"(20.1872, 342.507, -200.706)","(0.377415, 0.292047, -0.878787)"
0,Left,"(18.3679, 342.679, -201.49)","(0.371778, 0.29829, -0.879093)"
0,Left,"(16.6069, 342.764, -202.365)","(0.368841, 0.298058, -0.880408)"
0,Left,"(14.8215, 342.4, -202.865)","(0.367741, 0.294168, -0.882174)"
0,Left,"(13.0322, 342.282, -203.463)","(0.368361, 0.291359, -0.882848)"
0,Left,"(11.1902, 342.069, -204.026)","(0.365717, 0.281598, -0.887104)"
0,Left,"(9.246, 342.095, -204.541)","(0.365475, 0.277022, -0.888643)"
0,Left,"(7.29944, 342.128, -205.038)","(0.36313, 0.276642, -0.889722)"
0,Left,"(5.23676, 342.38, -205.616)","(0.35713, 0.287715, -0.888638)"
0,Left,"(3.19829, 342.33, -206.138)","(0.351098, 0.285887, -0.891627)"
0,Left,"(1.09806, 342.433, -206.494)","(0.346812, 0.294872, -0.890377)"
0,Left,"(-1.08671, 342.486, -206.759)","(0.338928, 0.305286, -0.889903)"
0,Left,"(-3.06028, 342.323, -207.154)","(0.336996, 0.296793, -0.893503)"
0,Left,"(-5.08208, 342.16, -207.465)","(0.33466, 0.294303, -0.895203)"
